fecha,consumo_zona_1,temperatura,humedad,velocidad_viento,flujo_difuso_general,flujo_difuso
1/2/2017 15:00,28721.01266,15.59,55.76,0.077,399.4,40.61
1/2/2017 15:10,28696.70886,15.58,57.03,0.077,381.1,42.48
1/2/2017 15:20,29049.11392,15.49,57.19,0.075,364.3,45.96
1/2/2017 15:30,29255.6962,15.45,57.86,0.075,345.8,57.35
1/2/2017 15:40,29012.65823,15.36,57.72,0.075,324.6,79.5
1/2/2017 15:50,29091.64557,15.38,58.02,0.074,302.9,121.3
1/2/2017 16:00,29030.88608,15.37,58.59,0.077,280.3,184.0
1/2/2017 16:10,29267.8481,15.23,59.76,0.077,260.6,238.0
1/2/2017 16:20,29480.50633,15.23,61.12,0.075,238.2,253.4
1/2/2017 16:30,30161.01266,15.24,61.63,0.075,216.8,248.1
1/2/2017 16:40,31011.64557,15.19,61.72,0.075,192.0,227.3
1/2/2017 16:50,31029.87342,15.17,61.76,0.077,165.5,200.6
1/2/2017 17:00,32390.88608,15.22,59.95,0.076,142.6,175.0
1/2/2017 17:10,33685.06329,15.17,61.92,0.076,119.9,148.2
1/2/2017 17:20,35659.74684,15.02,62.32,0.076,98.7,123.7
1/2/2017 17:30,38187.34177,14.9,61.82,0.079,77.5,98.6
1/2/2017 17:40,40648.10127,14.81,61.79,0.078,58.1,75.3
1/2/2017 17:50,41565.56962,14.68,62.05,0.079,22.4,25.24
1/2/2017 18:00,41644.55696,14.54,64.02,0.074,11.04,11.2
1/2/2017 18:10,41814.68354,14.38,64.55,0.077,6.504,6.524
1/2/2017 18:20,41766.07595,14.23,65.55,0.076,3.071,3.089
1/2/2017 18:30,41753.92405,14.11,65.79,0.081,0.933,0.946
1/2/2017 18:40,41808.60759,14.03,66.72,0.074,0.143,0.189
1/2/2017 18:50,41699.24051,13.95,67.52,0.074,0.037,0.119
1/2/2017 19:00,41280.0,13.87,68.59,0.075,0.066,0.1
1/2/2017 19:10,41583.79747,13.74,69.46,0.074,0.081,0.093
1/2/2017 19:20,41851.13924,13.55,69.9,0.076,0.029,0.104
1/2/2017 19:30,41608.10127,13.43,69.86,0.076,0.04,0.108
1/2/2017 19:40,41395.44304,13.35,69.86,0.076,0.073,0.078
1/2/2017 19:50,41273.92405,13.2,70.5,0.076,0.055,0.122
1/2/2017 20:00,40939.74684,13.42,68.89,0.073,0.055,0.096
1/2/2017 20:10,41249.62025,13.55,68.12,0.077,0.055,0.074
1/2/2017 20:20,41316.4557,13.42,68.52,0.075,0.055,0.093
1/2/2017 20:30,41182.78481,13.3,69.03,0.075,0.055,0.093
1/2/2017 20:40,41061.26582,13.33,68.72,0.076,0.066,0.108
1/2/2017 20:50,40830.37975,13.45,68.59,0.075,0.066,0.122
1/2/2017 21:00,40830.37975,13.47,66.99,0.074,0.048,0.078
1/2/2017 21:10,40356.4557,13.29,66.99,0.075,0.051,0.067
1/2/2017 21:20,39797.46835,13.15,66.42,0.078,0.055,0.093
1/2/2017 21:30,39116.96203,13.03,66.62,0.074,0.07,0.085
1/2/2017 21:40,38564.05063,12.93,67.29,0.076,0.07,0.111
1/2/2017 21:50,38102.27848,12.88,67.46,0.075,0.051,0.119
1/2/2017 22:00,37792.40506,12.86,67.76,0.074,0.084,0.093
1/2/2017 22:10,37117.97468,12.87,67.96,0.075,0.066,0.134
1/2/2017 22:20,36218.73418,12.92,68.52,0.074,0.037,0.148
1/2/2017 22:30,35191.89873,12.96,68.62,0.075,0.102,0.063
1/2/2017 22:40,34754.43038,12.88,69.33,0.075,0.062,0.152
1/2/2017 22:50,33909.87342,12.77,69.86,0.075,0.11,0.1
1/2/2017 23:00,32785.82278,12.82,70.1,0.075,0.077,0.1
1/2/2017 23:10,31916.96203,12.75,70.4,0.071,0.051,0.152
1/2/2017 23:20,30252.1519,12.54,71.5,0.077,0.051,0.1
1/2/2017 23:30,29346.83544,12.23,72.9,0.077,0.059,0.111
1/2/2017 23:40,28593.41772,12.19,72.8,0.077,0.07,0.122
1/2/2017 23:50,27779.24051,12.31,72.6,0.072,0.044,0.152
1/3/2017 0:00,26661.26582,12.08,74.0,0.076,0.117,0.093
1/3/2017 0:10,26150.88608,12.16,74.0,0.072,0.07,0.141
1/3/2017 0:20,25433.92405,12.07,74.1,0.074,0.102,0.119
1/3/2017 0:30,24947.8481,11.48,76.8,0.077,0.07,0.145
1/3/2017 0:40,24540.75949,11.45,77.7,0.074,0.073,0.115
1/3/2017 0:50,23884.55696,11.8,76.6,0.076,0.018,0.23
1/3/2017 1:00,23422.78481,12.23,75.1,0.074,0.062,0.145
1/3/2017 1:10,23222.27848,12.39,71.0,0.078,0.062,0.148
1/3/2017 1:20,22766.58228,12.42,71.4,0.077,0.059,0.159
1/3/2017 1:30,22365.56962,12.4,71.5,0.075,0.062,0.156
1/3/2017 1:40,22098.22785,11.84,73.4,0.079,0.073,0.152
1/3/2017 1:50,21946.32911,11.51,73.0,0.076,0.044,0.148
1/3/2017 2:00,21691.13924,11.35,73.6,0.081,0.095,0.134
1/3/2017 2:10,21575.6962,11.27,73.8,0.077,0.055,0.159
1/3/2017 2:20,21502.78481,11.33,74.5,0.073,0.044,0.13
1/3/2017 2:30,21332.65823,11.44,75.0,0.078,0.081,0.119
1/3/2017 2:40,21059.24051,12.26,75.5,0.076,0.073,0.163
1/3/2017 2:50,21065.31646,13.08,70.9,0.076,0.062,0.174
1/3/2017 3:00,20980.25316,12.78,71.8,0.078,0.055,0.156
1/3/2017 3:10,20931.64557,12.34,73.2,0.076,0.088,0.152
1/3/2017 3:20,20658.22785,12.2,73.8,0.072,0.084,0.178
1/3/2017 3:30,20226.83544,12.04,74.7,0.077,0.077,0.134
1/3/2017 3:40,20220.75949,11.96,74.9,0.077,0.07,0.137
1/3/2017 3:50,20330.12658,11.92,75.2,0.077,0.059,0.182
1/3/2017 4:00,20202.53165,11.85,75.1,0.083,0.077,0.156
1/3/2017 4:10,19989.87342,11.66,75.5,0.084,0.07,0.156
1/3/2017 4:20,19989.87342,11.55,76.1,0.077,0.055,0.156
1/3/2017 4:30,20087.08861,11.6,75.1,0.081,0.073,0.137
1/3/2017 4:40,20129.62025,11.17,77.8,0.076,0.077,0.148
1/3/2017 4:50,20299.74684,10.83,78.5,0.076,0.066,0.148
1/3/2017 5:00,20390.88608,10.74,78.6,0.077,0.048,0.189
1/3/2017 5:10,20500.25316,10.57,80.3,0.081,0.04,0.152
1/3/2017 5:20,20755.44304,10.49,80.3,0.08,0.084,0.141
1/3/2017 5:30,20986.32911,10.69,81.6,0.078,0.073,0.074
1/3/2017 5:40,21454.17722,11.22,80.0,0.076,0.077,0.171
1/3/2017 5:50,22122.53165,11.36,77.9,0.077,0.062,0.174
1/3/2017 6:00,22954.93671,11.44,77.5,0.079,0.102,0.122
1/3/2017 6:10,23605.06329,11.49,76.7,0.073,0.084,0.159
1/3/2017 6:20,24255.18987,11.33,76.8,0.075,0.062,0.145
1/3/2017 6:30,24656.20253,11.16,77.3,0.082,0.048,0.163
1/3/2017 6:40,24552.91139,10.89,77.5,0.082,0.099,0.111
1/3/2017 6:50,24607.59494,10.27,80.2,0.078,0.077,0.148
1/3/2017 7:00,24534.68354,10.15,80.8,0.08,0.055,0.193
1/3/2017 7:10,24662.27848,10.0,81.6,0.077,0.062,0.145
1/3/2017 7:20,24534.68354,9.9,81.5,0.076,0.048,0.171
1/3/2017 7:30,24151.89873,9.67,81.6,0.08,0.084,0.145
1/3/2017 7:40,23811.64557,9.27,81.5,0.08,0.059,0.167
1/3/2017 7:50,23532.1519,9.03,81.8,0.079,0.07,0.122
1/3/2017 8:00,23884.55696,8.85,82.7,0.082,0.146,0.223
1/3/2017 8:10,24522.53165,8.68,83.1,0.083,0.834,0.849
1/3/2017 8:20,24874.93671,8.54,83.7,0.078,2.88,2.815
1/3/2017 8:30,25251.64557,8.38,84.9,0.081,6.306,6.119
1/3/2017 8:40,25871.39241,8.5,84.9,0.079,12.91,11.68
1/3/2017 8:50,26466.83544,8.48,85.7,0.082,38.0,20.54
1/3/2017 9:00,27135.18987,8.4,85.3,0.082,64.8,27.42
1/3/2017 9:10,27997.97468,8.51,85.5,0.083,85.3,33.31
1/3/2017 9:20,28107.34177,8.8,85.0,0.084,109.4,38.03
1/3/2017 9:30,28417.21519,9.09,84.1,0.081,135.3,40.0
1/3/2017 9:40,29085.56962,9.62,84.5,0.082,161.3,41.16
1/3/2017 9:50,29383.29114,10.89,85.9,0.085,191.6,40.65
1/3/2017 10:00,30057.72152,12.43,83.3,0.079,220.3,41.27
1/3/2017 10:10,30756.4557,13.02,77.5,0.084,245.9,42.92
1/3/2017 10:20,30932.65823,13.38,74.4,0.078,269.7,43.12
1/3/2017 10:30,31272.91139,13.64,73.2,0.079,294.9,43.18
1/3/2017 10:40,31844.05063,13.88,72.2,0.084,319.0,43.25
1/3/2017 10:50,32281.51899,14.16,72.3,0.081,339.3,43.08
1/3/2017 11:00,32749.36709,14.54,69.24,0.084,361.2,43.97
1/3/2017 11:10,32974.17722,14.75,67.1,0.078,380.3,44.96
1/3/2017 11:20,33004.55696,14.87,66.57,0.08,397.2,45.17
1/3/2017 11:30,33217.21519,15.0,65.1,0.083,413.4,44.82
1/3/2017 11:40,33332.65823,15.08,64.4,0.079,428.2,44.18
1/3/2017 11:50,33113.92405,15.18,64.23,0.077,440.5,45.02
1/3/2017 12:00,33168.60759,15.28,64.43,0.074,452.5,44.71
1/3/2017 12:10,33751.89873,15.19,63.6,0.074,462.8,45.04
1/3/2017 12:20,34019.24051,15.18,64.77,0.075,470.7,44.71
1/3/2017 12:30,34116.4557,15.21,65.33,0.076,478.0,45.15
1/3/2017 12:40,34468.86076,15.31,64.2,0.074,484.0,44.76
1/3/2017 12:50,34468.86076,15.35,63.13,0.073,488.8,44.76
1/3/2017 13:00,34341.26582,15.43,62.93,0.073,492.7,44.55
1/3/2017 13:10,33964.55696,15.39,62.9,0.074,493.3,44.78
1/3/2017 13:20,33502.78481,15.41,62.83,0.074,491.9,44.84
1/3/2017 13:30,33302.27848,15.57,62.7,0.077,490.1,44.76
1/3/2017 13:40,33356.96203,15.37,63.4,0.076,487.1,44.94
1/3/2017 13:50,33271.89873,15.49,63.46,0.075,480.4,45.25
1/3/2017 14:00,32627.8481,15.57,63.7,0.073,472.9,45.01
1/3/2017 14:10,32694.68354,15.48,63.76,0.075,465.8,44.23
1/3/2017 14:20,32366.58228,15.36,64.16,0.073,455.2,44.07
